Image,id,Name,price,Sale
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/535790/74/mod01/fnd/PNA/fmt/png/MMQ-Twill-Pants",535790_74,MMQ Twill Pants,120,120.0
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/532987/03/mod01/fnd/PNA/fmt/png/101-North-Men's-Golf-Shorts",532987_03,101 North Men's Golf Shorts,70,70.0
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/193931/17/sv01/fnd/PNA/fmt/png/CELL-Vorto-Gleam-Women's-Sneakers",193931_17,CELL Vorto Gleam Women's Sneakers,70,34.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/522125/62/fnd/PNA/fmt/png/PUMA-Fit-PWRFLEECE-Men's-Training-Joggers",522125_62,PUMA Fit PWRFLEECE Men's Training Joggers,65,44.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/586295/01/mod01/fnd/PNA/fmt/png/Essentials-Women's-Logo-Tee",586295_01,Essentials Women's Logo Tee,25,9.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/586295/02/mod01/fnd/PNA/fmt/png/Essentials-Women's-Logo-Tee",586295_02,Essentials Women's Logo Tee,25,9.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/586295/04/mod01/fnd/PNA/fmt/png/Essentials-Women's-Logo-Tee",586295_04,Essentials Women's Logo Tee,25,9.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/586295/07/mod01/fnd/PNA/fmt/png/Essentials-Women's-Logo-Tee",586295_07,Essentials Women's Logo Tee,25,9.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/371149/80/sv01/fnd/PNA/fmt/png/Future-Rider-Play-On-Men's-Sneakers",371149_80,Future Rider Play On Men's Sneakers,80,54.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/371149/81/sv01/fnd/PNA/fmt/png/Future-Rider-Play-On-Men's-Sneakers",371149_81,Future Rider Play On Men's Sneakers,80,59.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/306973/07/sv01/fnd/PNA/fmt/png/Mercedes-F1-RS-Fast-Motorsport-Men's-Sneakers",306973_07,Mercedes F1 RS Fast Motorsport Men's Sneakers,120,120.0
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/532987/03/mod01/fnd/PNA/fmt/png/101-North-Men's-Golf-Shorts",532987_03,101 North Men's Golf Shorts,70,70.0
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/531885/05/mod01/fnd/PNA/fmt/png/Mercedes-F1-Logo-Men's-Tee",531885_05,Mercedes F1 Logo Men's Tee,40,29.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/531885/05/mod01/fnd/PNA/fmt/png/Mercedes-F1-Logo-Men's-Tee",531885_05,Mercedes F1 Logo Men's Tee,40,29.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/531197/02/mod01/fnd/PNA/fmt/png/BMW-M-Motorsport-Logo-Men's-Tee+",531197_02,BMW M Motorsport Logo Men's Tee+,45,14.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/531197/02/mod01/fnd/PNA/fmt/png/BMW-M-Motorsport-Logo-Men's-Tee+",531197_02,BMW M Motorsport Logo Men's Tee+,45,14.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/531197/02/mod01/fnd/PNA/fmt/png/BMW-M-Motorsport-Logo-Men's-Tee+",531197_02,BMW M Motorsport Logo Men's Tee+,45,14.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/366408/01/sv01/fnd/PNA/fmt/png/Roma-Classic-Gum-Men's-Sneakers",366408_01,Roma Classic Gum Men's Sneakers,70,70.0
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/366408/02/sv01/fnd/PNA/fmt/png/Roma-Classic-Gum-Men's-Sneakers",366408_02,Roma Classic Gum Men's Sneakers,70,70.0
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/052919/09/fnd/PNA/fmt/png/ESS-Cap",052919_09,ESS Cap,20,14.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/052919/18/fnd/PNA/fmt/png/ESS-Cap",052919_18,ESS Cap,20,9.99
